,ChEBI ID,ChEBI Name,Formulae
0,CHEBI:90,(-)-epicatechin,C15H14O6
1,CHEBI:165,"(1S,4R)-fenchone",C10H16O
2,CHEBI:598,1-alkyl-2-acylglycerol,C4H6O4R2
3,CHEBI:776,16alpha-hydroxyestrone,C18H22O3
4,CHEBI:943,"2,6-dichlorobenzonitrile",C7H3Cl2N
5,CHEBI:1148,2-hydroxybutyric acid,C4H8O3
6,CHEBI:1233,"3-(all-trans-octaprenyl)benzene-1,2-diol",C46H70O2
7,CHEBI:1269,2-polyprenylphenol,(C5H8)nC6H6O
8,CHEBI:1296,20-hydroxycholesterol,C27H46O2
9,CHEBI:1624,3-oxo-5beta-steroid,C19H29OR
10,CHEBI:1722,3beta-hydroxy-Delta(5)-steroid,C19H29OR
11,CHEBI:1734,4'-O-methylisoflavone,C16H12O3
12,CHEBI:1895,4-methylbenzyl alcohol,C8H10O
13,CHEBI:2030,5-aminoimidazole-4-carboxamide,C4H6N4O
14,CHEBI:2220,6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside,C11H19O10R
15,CHEBI:2295,7alpha -hydroxytestosterone,C19H28O3
16,CHEBI:2303,"8-(1,1-dimethylallyl)galangin",C20H18O5
17,CHEBI:2365,(+)-abscisic acid,C15H20O4
18,CHEBI:2376,acarbose,C25H43NO18
19,CHEBI:2453,acyclovir,C8H11N5O3
20,CHEBI:2469,adefovir,C8H12N5O4P
21,CHEBI:2631,amentoflavone,C30H18O10
22,CHEBI:2639,amiloride,C6H8ClN7O
23,CHEBI:2676,amoxicillin,C16H19N3O5S
24,CHEBI:2682,amphotericin B,C47H73NO17
25,CHEBI:2686,amrinone,C10H9N3O
26,CHEBI:2700,anandamide,C22H37NO2
27,CHEBI:2762,antimycin A,C28H40N2O9
28,CHEBI:2790,apramycin,C21H41N5O11
29,CHEBI:2873,asiatic acid,C30H48O5
30,CHEBI:2877,aspartame,C14H18N2O5
31,CHEBI:2914,atracurium,C53H72N2O12
32,CHEBI:2955,azithromycin,C38H72N2O12
33,CHEBI:2956,azlocillin,C20H23N5O6S
34,CHEBI:3008,bellidifolin,C14H10O6
35,CHEBI:3013,bendroflumethiazide,C15H14F3N3O4S2
36,CHEBI:3048,benzatropine,C21H25NO
37,CHEBI:3082,betaxolol,C18H29NO3
38,CHEBI:3084,bethanechol,C7H17N2O2
39,CHEBI:3087,betulinic acid,C30H48O3
40,CHEBI:3112,biperiden,C21H29NO
41,CHEBI:3139,bleomycin A2,C55H84N17O21S3
42,CHEBI:3176,brinzolamide,C12H21N3O5S3
43,CHEBI:3183,brompheniramine,C16H19BrN2
44,CHEBI:3213,bumetanide,C17H20N2O5S
45,CHEBI:3216,buprenorphine,C29H41NO4
46,CHEBI:3238,butenafine,C23H27N
47,CHEBI:3240,butoconazole,C19H17Cl3N2S
